0,59,51,51,25,24,24,24,24,34,24,34,25,25,55,72,84
59,0,0,0,64,64,64,64,64,68,64,68,64,64,0,16,34
51,0,0,0,57,58,58,58,58,62,58,62,57,57,0,24,40
51,0,0,0,57,58,58,58,58,62,58,62,57,57,0,24,40
25,64,57,57,0,0,0,0,0,0,0,0,0,0,62,83,96
24,64,58,58,0,0,0,0,0,0,0,0,0,0,62,83,95
24,64,58,58,0,0,0,0,0,0,0,0,0,0,62,83,95
24,64,58,58,0,0,0,0,0,0,0,0,0,0,62,83,95
24,64,58,58,0,0,0,0,0,0,0,0,0,0,62,83,95
34,68,62,62,0,0,0,0,0,0,0,0,0,0,67,88,101
24,64,58,58,0,0,0,0,0,0,0,0,0,0,62,83,95
34,68,62,62,0,0,0,0,0,0,0,0,0,0,67,88,101
25,64,57,57,0,0,0,0,0,0,0,0,0,0,62,83,96
25,64,57,57,0,0,0,0,0,0,0,0,0,0,62,83,96
55,0,0,0,62,62,62,62,62,67,62,67,62,62,0,22,32
72,16,24,24,83,83,83,83,83,88,83,88,83,83,22,0,0
84,34,40,40,96,95,95,95,95,101,95,101,96,96,32,0,0

