0,9,1,1,5,4,4,4,4,4,4,4,5,5,5,2,4
9,0,0,0,4,4,4,4,4,8,4,8,4,4,0,6,4
1,0,0,0,7,8,8,8,8,2,8,2,7,7,0,4,0
1,0,0,0,7,8,8,8,8,2,8,2,7,7,0,4,0
5,4,7,7,0,0,0,0,0,0,0,0,0,0,2,3,6
4,4,8,8,0,0,0,0,0,0,0,0,0,0,2,3,5
4,4,8,8,0,0,0,0,0,0,0,0,0,0,2,3,5
4,4,8,8,0,0,0,0,0,0,0,0,0,0,2,3,5
4,4,8,8,0,0,0,0,0,0,0,0,0,0,2,3,5
4,8,2,2,0,0,0,0,0,0,0,0,0,0,7,8,10
4,4,8,8,0,0,0,0,0,0,0,0,0,0,2,3,5
4,8,2,2,0,0,0,0,0,0,0,0,0,0,7,8,10
5,4,7,7,0,0,0,0,0,0,0,0,0,0,2,3,6
5,4,7,7,0,0,0,0,0,0,0,0,0,0,2,3,6
5,0,0,0,2,2,2,2,2,7,2,7,2,2,0,2,2
2,6,4,4,3,3,3,3,3,8,3,8,3,3,2,0,0
4,4,0,0,6,5,5,5,5,10,5,10,6,6,2,0,0
